IP:PORT, LOSS, DELAY
188.114.96.1:880,0.00%,196 ms
188.114.99.185:880,0.00%,199 ms
188.114.99.157:942,0.00%,200 ms
188.114.97.74:880,0.00%,200 ms
188.114.96.79:942,0.00%,200 ms
188.114.96.79:880,0.00%,200 ms
188.114.97.111:880,0.00%,201 ms
188.114.99.185:942,0.00%,201 ms
188.114.98.110:942,0.00%,204 ms
188.114.96.91:880,0.00%,217 ms
188.114.96.38:942,0.00%,218 ms
162.159.192.239:942,0.00%,218 ms
188.114.98.114:880,0.00%,219 ms
188.114.99.137:880,0.00%,220 ms
188.114.98.246:880,0.00%,220 ms
188.114.96.247:880,0.00%,221 ms
188.114.96.98:880,0.00%,221 ms
188.114.97.111:942,0.00%,223 ms
188.114.98.127:942,0.00%,223 ms
188.114.96.192:880,0.00%,230 ms
188.114.97.36:880,0.00%,231 ms
188.114.99.80:880,0.00%,233 ms
188.114.96.163:942,0.00%,239 ms
188.114.96.92:880,0.00%,242 ms
188.114.97.191:942,0.00%,242 ms
188.114.97.173:942,0.00%,244 ms
188.114.96.163:880,0.00%,245 ms
188.114.96.102:880,0.00%,247 ms
188.114.98.246:942,0.00%,251 ms
188.114.99.37:880,0.00%,252 ms
188.114.96.91:942,10.00%,276 ms
188.114.99.157:880,10.00%,280 ms
188.114.99.34:880,10.00%,280 ms
188.114.96.1:942,10.00%,283 ms
188.114.99.186:942,10.00%,284 ms
188.114.98.58:942,10.00%,286 ms
188.114.96.11:880,10.00%,286 ms
188.114.96.100:880,10.00%,286 ms
188.114.98.110:880,10.00%,293 ms
188.114.98.30:880,10.00%,295 ms
188.114.97.91:942,10.00%,295 ms
188.114.98.89:880,10.00%,296 ms
188.114.99.117:942,10.00%,297 ms
162.159.195.216:880,10.00%,298 ms
188.114.96.247:942,10.00%,298 ms
188.114.99.37:942,10.00%,299 ms
188.114.97.36:942,10.00%,300 ms
188.114.99.175:942,10.00%,300 ms
188.114.97.219:942,10.00%,301 ms
188.114.98.58:880,10.00%,301 ms
188.114.97.219:880,10.00%,302 ms
162.159.192.239:880,10.00%,305 ms
188.114.96.11:942,10.00%,305 ms
188.114.98.248:942,10.00%,305 ms
188.114.98.248:880,10.00%,306 ms
162.159.195.230:942,10.00%,306 ms
188.114.98.189:942,10.00%,306 ms
162.159.192.196:942,10.00%,311 ms
188.114.98.18:880,10.00%,317 ms
188.114.98.18:942,10.00%,317 ms
188.114.98.54:880,10.00%,319 ms
188.114.96.137:880,10.00%,319 ms
188.114.99.80:942,10.00%,320 ms
188.114.99.154:880,10.00%,321 ms
188.114.96.92:942,10.00%,322 ms
188.114.97.97:942,10.00%,323 ms
188.114.99.230:880,10.00%,327 ms
188.114.96.102:942,10.00%,328 ms
188.114.99.140:880,10.00%,328 ms
188.114.98.3:942,10.00%,329 ms
188.114.96.98:942,20.00%,359 ms
188.114.99.238:942,20.00%,366 ms
162.159.195.199:880,20.00%,372 ms
188.114.96.137:942,20.00%,372 ms
188.114.99.169:942,20.00%,374 ms
188.114.97.146:942,20.00%,374 ms
188.114.96.38:880,20.00%,376 ms
188.114.97.146:880,20.00%,377 ms
188.114.99.21:942,20.00%,378 ms
188.114.96.100:942,20.00%,378 ms
188.114.97.244:880,20.00%,379 ms
188.114.99.21:880,20.00%,382 ms
188.114.99.137:942,20.00%,382 ms
188.114.96.32:880,20.00%,382 ms
188.114.98.189:880,20.00%,382 ms
188.114.97.74:942,20.00%,387 ms
162.159.192.32:880,20.00%,388 ms
162.159.192.196:880,20.00%,391 ms
188.114.99.154:942,20.00%,391 ms
162.159.192.100:942,20.00%,391 ms
188.114.97.94:942,20.00%,393 ms
188.114.97.223:880,20.00%,394 ms
188.114.98.114:942,20.00%,395 ms
188.114.98.30:942,20.00%,396 ms
188.114.98.187:880,20.00%,397 ms
188.114.97.191:880,20.00%,397 ms
188.114.97.91:880,20.00%,398 ms
188.114.99.117:880,20.00%,398 ms
188.114.97.97:880,20.00%,398 ms
188.114.97.94:880,20.00%,399 ms
188.114.97.223:942,20.00%,399 ms
188.114.99.169:880,20.00%,399 ms
188.114.98.54:942,20.00%,399 ms
162.159.192.214:880,20.00%,408 ms
188.114.99.186:880,30.00%,447 ms
188.114.99.238:880,30.00%,451 ms
162.159.192.254:880,30.00%,451 ms
162.159.195.229:942,30.00%,453 ms
188.114.97.77:942,30.00%,456 ms
188.114.98.127:880,30.00%,456 ms
188.114.97.173:880,30.00%,457 ms
188.114.96.35:942,30.00%,457 ms
188.114.96.35:880,30.00%,457 ms
162.159.195.229:880,30.00%,458 ms
162.159.192.153:942,30.00%,460 ms
188.114.97.77:880,30.00%,461 ms
162.159.195.230:880,30.00%,461 ms
162.159.192.21:942,30.00%,462 ms
162.159.192.60:942,30.00%,462 ms
162.159.195.232:880,30.00%,469 ms
188.114.99.140:942,30.00%,469 ms
162.159.195.45:942,30.00%,470 ms
188.114.97.108:880,30.00%,471 ms
188.114.97.244:942,30.00%,471 ms
188.114.98.89:942,30.00%,471 ms
188.114.98.187:942,30.00%,473 ms
188.114.98.3:880,30.00%,473 ms
188.114.96.32:942,30.00%,475 ms
188.114.97.108:942,30.00%,478 ms
162.159.195.23:880,40.00%,518 ms
162.159.195.45:880,40.00%,519 ms
162.159.195.23:942,40.00%,519 ms
162.159.192.103:880,40.00%,520 ms
162.159.192.0:880,40.00%,521 ms
162.159.192.122:942,40.00%,524 ms
162.159.192.39:880,40.00%,524 ms
